!sil 1.0	sil
afghans 1.0	ae f g ae n z
afloat 1.0	ax f l ow t
afoot 1.0	ax f uh t
afraid 1.0	ax f r ey d
afresh 1.0	ax f r eh sh
afri- 1.0	ae f r ih k ax n
africa 1.0	ae f r ih k ax
african 1.0	ae f r ih k ax n
africans 1.0	ae f r ih k ax n z
aft- 1.0	ae f t
after 1.0	ae f t er
afterburners 1.0	ae f t er b er n er z
aftermath 1.0	ae f t er m ae th
afternoon 1.0	ae f t er n uw n
afternoons 1.0	ae f t er n uw n z
afterthought 1.0	ae f t er th ao t
afterward 1.0	ae f t er w er d
afterwards 1.0	ae f t er w er d z
ag- 1.0	ae g
ag- 1.0	ax g
ag- 1.0	ey jh
aga- 1.0	ae g ax
agai- 1.0	ax g eh
again 1.0	ax g eh n
again- 1.0	ax g eh n
against 1.0	ax g eh n s t
agape 1.0	ax g ey p
agatha 1.0	ae g ax th ax
age 1.0	ey jh
aged 1.0	ey jh d
agencies 1.0	ey jh ih n s iy z
agency 1.0	ey jh ih n s iy
agenda 1.0	ax jh eh n d ax
agent 1.0	ey jh ih n t
agents 1.0	ey jh ih n t s
ager 1.0	ey g er
ages 1.0	ey jh ih z
agewise 1.0	ey jh w ay z
agey 1.0	ey jh iy
aggrava- 1.0	ae g r ax v ey
aggravate 1.0	ae g r ax v ey t
aggravated 1.0	ae g r ax v ey t ih d
aggravates 1.0	ae g r ax v ey t s
aggravating 1.0	ae g r ax v ey t ih ng
aggravation 1.0	ae g r ax v ey sh ih n
aggress- 1.0	ax g r eh s
aggression 1.0	ax g r eh sh ih n
aggressions 1.0	ax g r eh sh ih n z
aggressive 1.0	ax g r eh s ih v
aggressor 1.0	ax g r eh s er
aghast 1.0	ax g ae s t
agile 1.0	ae jh ax l
aging 1.0	ey jh ih ng
agitating 1.0	ae jh ih t ey t ih ng
agnostic 1.0	ae g n aa s t ih k
agnus 1.0	ae g n ah s
ago 1.0	ax g ow
agony 1.0	ae g ax n iy
agr- 1.0	ax g r
agrarian 1.0	ax g r eh r iy ih n
agree 1.0	ax g r iy
agreeable 1.0	ax g r iy ax b ax l
agreed 1.0	ax g r iy d
agreeing 1.0	ax g r iy ih ng
agreement 1.0	ax g r iy m ih n t
agreements 1.0	ax g r iy m ih n t s
agrees 1.0	ax g r iy z
agri- 1.0	ae g r ih
agricultural 1.0	ae g r ih k ah l ch ax r ax l
agriculturally 1.0	ae g r ih k ah l ch ax r ax l iy
agriculture 1.0	ae g r ih k ah l ch er
aguirre 1.0	ax g iy r ax
ah 1.0	aa
ah- 1.0	ax hh
aha 1.0	aa hh aa
ahead 1.0	ax hh eh d
ahold 1.0	ax hh ow l d
ai- 1.0	ey
aid 1.0	ey d
aid- 1.0	ey d
aide 1.0	ey d
aides 1.0	ey d z
aids 1.0	ey d z
aikman 1.0	ay k m ax n
aikman's 1.0	ay k m ax n z
ailment 1.0	ey l m ih n t
ailments 1.0	ey l m ih n t s
aim 1.0	ey m
aimed 1.0	ey m d
aiming 1.0	ey m ih ng
aimlessly 1.0	ey m l ih s l iy
ain't 1.0	ey n t
aines 1.0	ey n z
ainge 1.0	ae n jh
ainsley 1.0	ey n z l iy
air 1.0	ey r
air's 1.0	ey r z
air- 1.0	ey r
air-conditioned 1.0	ey r k ax n d ih sh ih n d
air-conditioning 1.0	ey r k ax n d ih sh ih n ih ng
airbags 1.0	ey r b ae g z
airborne 1.0	ey r b ow r n
aircraft 1.0	ey r k r ae f t
aire 1.0	ey r
aired 1.0	ey r d
airedale 1.0	ey r d ey l
aires 1.0	ae r iy z
airfare 1.0	ey r f ey r
airheaded 1.0	ey r hh eh d ih d
airless 1.0	ey r l ih s
airline 1.0	ey r l ay n
airlines 1.0	ey r l ay n z
airpl- 1.0	ey r p l
airplane 1.0	ey r p l ey n
airplanes 1.0	ey r p l ey n z
airport 1.0	ey r p ow r t
airport's 1.0	ey r p ow r t s
airports 1.0	ey r p ow r t s
airs 1.0	ey r z
airspace 1.0	ey r s p ey s
airtight 1.0	ey r t ay t
airw- 1.0	ey r w
airwaves 1.0	ey r w ey v z
airway 1.0	ey r w ey
airways 1.0	ey r w ey z
airy 1.0	ey r iy
aisle 1.0	ay l
aisles 1.0	ay l z
ak-47 1.0	ey k ey f ow r t iy s eh v ih n
ak-47s 1.0	ey k ey f ow r t iy s eh v ih n z
akals 1.0	ax k aa l z
akeem 1.0	ax k iy m
akin 1.0	ax k ih n
akita 1.0	ax k iy t ax
akron 1.0	ae k r ax n
al 1.0	ae l
al- 1.0	ae l
al- 1.0	ao l
al- 1.0	ax l
alaba- 1.0	ae l ax b ae
alabama 1.0	ae l ax b ae m ax
alamo 1.0	ae l ax m ow
alamogordo 1.0	ae l ax m ax g ow r d ow
alamos 1.0	ae l ax m ow s
alan 1.0	ae l ax n
alarm 1.0	ax l aa r m
alarmed 1.0	ax l aa r m d
alarms 1.0	ax l aa r m z
alaska 1.0	ax l ae s k ax
alaska's 1.0	ax l ae s k ax z
alaskan 1.0	ax l ae s k ax n
alastair 1.0	ae l ih s t er
albania 1.0	ae l b ey n iy ax
albany 1.0	ae l b ax n iy
albequerque 1.0	ae l b ax k er k iy
albert 1.0	ae l b er t
alberta 1.0	ae l b er t ax
albertson's 1.0	ae l b er t s ax n z
albridge 1.0	ao l b r ih jh
albrough 1.0	ae l b r uh ow
album 1.0	ae l b ax m
albums 1.0	ae l b ax m z
albuque- 1.0	ae l b ax k
albuquerque 1.0	ae l b ax k er k iy
alcatraz 1.0	ae l k ax t r ae z
alcohol 1.0	ae l k ax hh ao l
alcohol's 1.0	ae l k ax hh ao l z
alcoholi- 1.0	ae l k ax hh ao l ih
alcoholic 1.0	ae l k ax hh ao l ih k
alcoholics 1.0	ae l k ax hh ao l ih k s
alcoholism 1.0	ae l k ax hh ao l ih z ax m
alda 1.0	ao l d ax
aldus 1.0	ao l d ih s
ale 1.0	ey l
ale's 1.0	ey l z
alec 1.0	ae l ih k
alert 1.0	ax l er t
alerted 1.0	ax l er t ih d
alerts 1.0	ax l er t s
alex 1.0	ae l ih k s
alex- 1.0	ae l ih g z ae n d er
alexan- 1.0	ae l ih g z ae n
alexander 1.0	ae l ih g z ae n d er
alexandria 1.0	ae l ih k s ae n d r iy ax
alfa 1.0	ae l f ax
alfred 1.0	ae l f r ih d
alfredo 1.0	ae l f r ey d ow
alfredo's 1.0	ae l f r ey d ow z
algae 1.0	ae l jh iy
algebra 1.0	ae l jh ax b r ax
algeria 1.0	ae l jh iy r iy ax
algorithm 1.0	ae l g ax r ih dh ax m
ali 1.0	aa l iy
alien 1.0	ey l iy ih n
alienate 1.0	ey l iy ih n ey t
alienated 1.0	ey l iy ih n ey t ih d
aliens 1.0	ey l iy ih n z
align 1.0	ax l ay n
aligned 1.0	ax l ay n d
alignment 1.0	ax l ay n m ih n t
alignments 1.0	ax l ay n m ih n t s
alike 1.0	ax l ay k
alimony 1.0	ae l ih m ow n iy
alive 1.0	ax l ay v
alk- 1.0	ae l k ax
alkaline 1.0	ae l k ax l ay n
alkies 1.0	ae l k iy z
all 1.0	ao l
all's 1.0	ao l z
all-star 1.0	ao l s t aa r
allah 1.0	ae l ax
allante 1.0	ax l aa n t ey
allege 1.0	ax l eh jh
alleged 1.0	ax l eh jh d
allegedly 1.0	ax l eh jh ih d l iy
allegheny 1.0	ae l ax g ey n iy
allen 1.0	ae l ih n
allen's 1.0	ae l ih n z
allendal 1.0	ae l ih n d ey l
allendale 1.0	ae l ih n d ey l
allenstown 1.0	ae l ih n z t aw n
allentown 1.0	ae l ih n t aw n
allergic 1.0	ax l er jh ih k
allergies 1.0	ae l er jh iy z
allergist 1.0	ae l er jh ih s t
allergy 1.0	ae l er jh iy
alleviate 1.0	ax l iy v iy ey t
alleviated 1.0	ax l iy v iy ey t ih d
alleviates 1.0	ax l iy v iy ey t s
alleviating 1.0	ax l iy v iy ey t ih ng
alley 1.0	ae l iy
alley's 1.0	ae l iy z
alleys 1.0	ae l iy z
alleyway 1.0	ae l iy w ey
alleyways 1.0	ae l iy w ey z
alliance 1.0	ax l ay ih n s
alliances 1.0	ax l ay ih n s ih z
allied 1.0	ae l ay d
allies 1.0	ae l ay z
alligator 1.0	ae l ih g ey t er
allocate 1.0	ae l ax k ey t
allocated 1.0	ae l ax k ey t ih d
allocation 1.0	ae l ax k ey sh ih n
allocation's 1.0	ae l ax k ey sh ih n z
allot 1.0	ax l aa t
allotment 1.0	ax l aa t m ih n t
allots 1.0	ax l aa t s
allotted 1.0	ax l aa t ih d
allow 1.0	ax l aw
allow- 1.0	ax l ao
allowable 1.0	ax l aw ax b ax l
allowance 1.0	ax l aw ax n s
allowances 1.0	ax l aw ax n s ih z
allowed 1.0	ax l aw d
allowing 1.0	ax l aw ih ng
allows 1.0	ax l aw z
allstate 1.0	ao l s t ey t
alluded 1.0	ax l uw d ih d
alluding 1.0	ax l uw d ih ng
allure 1.0	ax l uh r
alluring 1.0	ax l uh r ih ng
ally 1.0	ae l ay
allyson 1.0	ae l ih s ax n
alm- 1.0	ao l m
alma 1.0	aa l m ax
almanac 1.0	ao l m ax n ae k
almetco 1.0	ao l m eh t k ow
almighty 1.0	ao l m ay t iy
almo- 1.0	ao l m ow
almos- 1.0	ao l m ow s
almost 1.0	ao l m ow s t
alo- 1.0	ax l ao
alo- 1.0	ax l ow
aloe 1.0	ae l ow
alone 1.0	ax l ow n
along 1.0	ax l ao ng
aloud 1.0	ax l aw d
alpert 1.0	ae l p er t
alpha 1.0	ae l f ax
alphabet 1.0	ae l f ax b eh t
alpine 1.0	ae l p ay n
alps 1.0	ae l p s
alr- 1.0	ao l r
alrea- 1.0	ao l r eh
already 1.0	aa r d iy
already 1.0	ao l r eh d iy
alright 1.0	ao l r ay t
alrighty 1.0	ao l r ay t iy
als- 1.0	ao l s
alsatian 1.0	ae l s ey sh ih n
also 1.0	ao l s ow
alt 1.0	ao l t
alt- 1.0	ao l t
alta 1.0	ao l t ax
altar 1.0	ao l t er
alter 1.0	ao l t er
alter- 1.0	ao l t er
alterations 1.0	ao l t ax r ey sh ih n z
altercations 1.0	ao l t er k ey sh ih n z
altered 1.0	ao l t er d
altering 1.0	ao l t ax r ih ng
alternate 1.0	ao l t er n ey t
alternated 1.0	ao l t er n ey t ih d
alternately 1.0	ao l t er n ih t l iy
alternates 1.0	ao l t er n ey t s
alternating 1.0	ao l t er n ey t ih ng
alternative 1.0	ao l t er n ih t ih v
alternatively 1.0	ao l t er n ih t ih v l iy
alternatives 1.0	ao l t er n ih t ih v z
alternator 1.0	ao l t er n ey t er
alters 1.0	ao l t er z
although 1.0	ao l dh ow
altitude 1.0	ae l t ih t uw d
altitudes 1.0	ae l t ih t uw d z
alto 1.0	ae l t ow
altog- 1.0	ao l t ax g
altogether 1.0	ao l t ax g eh dh er
alton 1.0	ao l t en
altoona 1.0	ae l t uw n ax
altruistic 1.0	ae l t r uw ih s t ih k
altrusa 1.0	ae l t r uw s ax
alum 1.0	ae l ax m
alum- 1.0	ax l uw m
alumi- 1.0	ax l uw m ih
aluminium 1.0	ae l ax m ih n iy ax m
aluminum 1.0	ax l uw m ih n ax m
alumnae 1.0	ax l ah m n ey
alumni 1.0	ax l ah m n ay
alums 1.0	ax l ah m z
alvarez 1.0	ae l v ax r eh z
alvin 1.0	ae l v ih n
alw- 1.0	ao l w
alway- 1.0	ao l w ey
always 1.0	ao l w ey z
alzh- 1.0	ao l s hh
alzheimer 1.0	ao l s hh ay m er
alzheimer's 1.0	ao l s hh ay m er z
alzheimers 1.0	ao l s hh ay m er z
am  1.0	ae m  
am 1.0	ae m
am 1.0	m
am- 1.0	aa m
am- 1.0	ae m
am- 1.0	ax m
ama- 1.0	ax m ey
amaco 1.0	ae m ax k ow
amanda 1.0	ax m ae n d ax
amaretta 1.0	ae m ax r eh t ax
amarillo 1.0	ae m ax r ih l ow
amaryllis 1.0	ae m ax r ih l ih s
amateur 1.0	ae m ax ch uh r
amateurs 1.0	ae m ax ch uh r z
amaz- 1.0	ax m ey z
amaze 1.0	ax m ey z
amaze- 1.0	ax m ey z ih
amazed 1.0	ax m ey z d
amazes 1.0	ax m ey z ih z
amazing 1.0	ax m ey z ih ng
amazingly 1.0	ax m ey z ih ng l iy
ambassador 1.0	ae m b ae s ih d er
ambience 1.0	aa m b iy aa n s
ambition 1.0	ae m b ih sh ih n
ambitions 1.0	ae m b ih sh ih n z
ambitious 1.0	ae m b ih sh ih s
ambivalent 1.0	ae m b ih v ax l ih n t
ambulance 1.0	ae m b y ax l ih n s
ambulatory 1.0	ae m b y ax l ax t ow r iy
amdahl 1.0	aa m d aa l
ame- 1.0	ax m eh
amelia 1.0	ax m iy l iy ax
amen- 1.0	ax m eh n
amended 1.0	ax m eh n d ih d
amendment 1.0	ax m eh n d m ih n t
amendments 1.0	ax m eh n d m ih n t s
amenities 1.0	ax m eh n ih t iy z
amer- 1.0	ax m eh r
ameri- 1.0	ax m eh r ih
america 1.0	ax m eh r ih k ax
america's 1.0	ax m eh r ih k ax z
american 1.0	ax m eh r ih k ax n
american- 1.0	ax m eh r ih k ax n
americanism 1.0	ax m eh r ih k ax n ih z ax m
americanized 1.0	ax m eh r ih k ax n ay z d
americans 1.0	ax m eh r ih k ax n z
americard 1.0	ax m eh r ih k aa r d
amguard 1.0	ae m g aa r d
amherst 1.0	ae m er s t
amiga 1.0	ax m iy g ax
amiga's 1.0	ax m iy g ax z
amigas 1.0	ax m iy g ax z
amin 1.0	ae m iy n
amish 1.0	aa m ih sh
amiss 1.0	ax m ih s
amm- 1.0	ae m
ammon 1.0	ae m ax n
ammonia 1.0	ax m ow n y ax
ammuit- 1.0	ae m y ax ih sh
ammunition 1.0	ae m y ax n ih sh ih n
amnesia 1.0	ae m n iy zh ax
amnesty 1.0	ae m n eh s t iy
amnesty 1.0	ae m n ih s t iy
amoeba 1.0	ax m iy b ax
amok 1.0	ax m aa k
among 1.0	ax m ah ng
amongst 1.0	ax m ah ng s t
amoral 1.0	ax m ow r ax l 
amorphous 1.0	ax m ow r f ax s
amory's 1.0	ae m ow r iy z
amou- 1.0	ax m aw
amount 1.0	ax m aw n t
amounted 1.0	ax m aw n t ih d
amounts 1.0	ax m aw n t s
amp 1.0	ae m p
amperage 1.0	ae m p ax r ih jh
amphetamines 1.0	ae m f eh t ax m ay n z
ample 1.0	ae m p ax l
amplifier 1.0	ae m p l ih f ay r
amplifiers 1.0	ae m p l ih f ay r z
amputated 1.0	ae m p y ax t ey t ih d
amrein's 1.0	ae m r ey n z
amsterdam 1.0	ae m s t er d ae m
amtrak 1.0	ae m t r ae k
amuse 1.0	ax m y uw z
amused 1.0	ax m y uw z d
amusement 1.0	ax m y uw z m ih n t
amusing 1.0	ax m y uw z ih ng
amway 1.0	ae m w ey
amy 1.0	ey m iy
an 1.0	ae n
an- 1.0	ae n
an- 1.0	ax n
an- 1.0	eh n
ana 1.0	aa n ax
ana- 1.0	ae n ax
ana- 1.0	ax n ae
anachro 1.0	ae n ax k r ow
anaerobic 1.0	ae n ax r ow b ih k
anagram 1.0	ae n ax g r ae m
anaheim 1.0	ae n ax hh ay m
analog 1.0	ae n ax l ao g
analogy 1.0	ax n ae l ax jh iy
analyses 1.0	ax n ae l ih s iy z
analysis 1.0	ax n ae l ih s ih s
analyst 1.0	ae n ax l ih s t
analysts 1.0	ae n ax l ih s t s
analytical 1.0	ae n ax l ih t ih k ax l
analyze 1.0	ae n ax l ay z
analyzers 1.0	ae n ax l ay z er z
analyzing 1.0	ae n ax l ay z ih ng
anani- 1.0	ax n ae n ih
ananimous 1.0	ax n ae n ih m ax s
anarchy 1.0	ae n aa r k iy
anatomy 1.0	ax n ae t ax m iy
ancestor 1.0	ae n s eh s t er
ancestors 1.0	ae n s eh s t er z
ancestral 1.0	ae n s eh s t r ax l
anchor 1.0	ae ng k er
anchoring 1.0	ae ng k ax r ih ng
anchors 1.0	ae ng k er z
anchovies 1.0	ae n ch ow v iy z
ancient 1.0	ey n ch ih n t
ancients 1.0	ey n ch ih n t s
ancle 1.0	ae ng k ax l
and 1.0	ae n d
andean 1.0	ae n d iy ih n
anderson 1.0	ae n d er s ax n
andover 1.0	ae n d ow v er
andre 1.0	aa n d r ey
andrew 1.0	ae n d r uw
andrews 1.0	ae n d r uw z
ands 1.0	ae n d z
anduille 1.0	ae n d uw iy
andy 1.0	ae n d iy
anecdotal 1.0	ae n ih k d ow t ax l
anecdote 1.0	ae n ih k d ow t
anecdotes 1.0	ae n ih k d ow t s
aneurism 1.0	ae n y ax r ih z ax m
aneurisms 1.0	ae n y ax r ih z ax m z
angel 1.0	ey n jh ax l
angela 1.0	ae n jh ax l ax
angeles 1.0	ae n jh ax l ax s
angelo 1.0	ae n jh ax l ow
angels 1.0	ey n jh ax l z
anger 1.0	ae ng g er
angering 1.0	ae ng g ax r ih ng
angie 1.0	ae n jh iy
angle 1.0	ae ng g ax l
angled 1.0	ae ng g ax l d
anglers 1.0	ae ng g l er z
angles 1.0	ae ng g ax l z
anglo 1.0	ae ng g l ow
anglos 1.0	ae ng g l ow z
angolan 1.0	ae ng g ow l aa n
angora 1.0	ae ng g ow r ax
angry 1.0	ae ng g r iy
anguish 1.0	ae ng g w ih sh
anguished 1.0	ae ng g w ih sh t
anguishing 1.0	ae ng g w ih sh ih ng
anheimer 1.0	ae n hh ay m er
ani- 1.0	ae n ih
animal 1.0	ae n ih m ax l
animal's 1.0	ae n ih m ax l z
animals 1.0	ae n ih m ax l z
animated 1.0	ae n ih m ey t ih d
animation 1.0	ae n ih m ey sh ih n
animator 1.0	ae n ih m ey t er
animosities 1.0	ae n ih m aa s ih t iy z
animosity 1.0	ae n ih m aa s ih t iy
anita 1.0	ax n iy t ax
ankle 1.0	ae ng k ax l
ankles 1.0	ae ng k ax l z
anklet 1.0	ae ng k l ih t
anklets 1.0	ae ng k l ih t s
ann 1.0	ae n
anna 1.0	ae n ax
annapolis 1.0	ax n ae p ax l ih s
anne 1.0	ae n
annette 1.0	ax n eh t
annex 1.0	ae n eh k s
annie 1.0	ae n iy
annihilated 1.0	ax n ay ax l ey t ih d
anniversary 1.0	ae n ih v er s ax r iy
annotated 1.0	ae n ax t ey t ih d
announce 1.0	ax n aw n s
announced 1.0	ax n aw n s t
announcement 1.0	ax n aw n s m ih n t
announcements 1.0	ax n aw n s m ih n t s
announcer 1.0	ax n aw n s er
announcers 1.0	ax n aw n s er z
announcing 1.0	ax n aw n s ih ng
annoy 1.0	ax n oy
annoyance 1.0	ax n oy ih n s
annoyed 1.0	ax n oy d
annoying 1.0	ax n oy ih ng
annoys 1.0	ax n oy z
annu- 1.0	ax n uw
annual 1.0	ae n y uh l
annualized 1.0	ae n y uh l ay z d
annually 1.0	ae n y uh l iy
annuals 1.0	ae n y uh l z
annuities 1.0	ax n uw ih t iy z
annuitity 1.0	ax n uw ih t ih t iy
annuity 1.0	ax n uw ih t iy
ano- 1.0	ax n ah
anointed 1.0	ax n oy n t ih d
anomalies 1.0	ax n aa m ax l iy z
anomaly 1.0	ax n aa m ax l iy
anonymous 1.0	ax n aa n ih m ax s
anonymously 1.0	ax n aa n ih m ax s l iy
anoth- 1.0	ax n ah dh
another 1.0	ax n ah dh er
another's 1.0	ax n ah dh er z
ansi 1.0	ae n s iy
anson 1.0	ae n s ax n
answ- 1.0	ae n s
answer 1.0	ae n s er
answer's 1.0	ae n s er z
answer- 1.0	ae n s ax r
answered 1.0	ae n s er d
answering 1.0	ae n s ax r ih ng
answers 1.0	ae n s er z
ant 1.0	ae n t
ant- 1.0	ae n t
antarctica 1.0	ae n t aa r k t ih k ax
antares 1.0	ae n t ae r iy z
ante 1.0	ae n t iy
anteks 1.0	ae n t eh k s
antenna 1.0	ae n t eh n ax
antennas 1.0	ae n t eh n ax z
anthem 1.0	ae n th ax m
anthologies 1.0	ae n th aa l ax jh iy z
anthony 1.0	ae n th ax n iy
anthony's 1.0	ae n th ax n iy z
anthropology 1.0	ae n th r ax p aa l ax jh iy
anti 1.0	ae n t ay
anti-drunk 1.0	ae n t ay d r ah ng k
antiamericanism 1.0	ae n t ay ax m eh r ih k ax n ih z ax m
antibeach 1.0	ae n t ay b iy ch
antibiotics 1.0	ae n t ay b ay aa t ih k s
antiblack 1.0	ae n t ay b l ae k
antibody 1.0	ae n t ay b aa d iy
antic- 1.0	ae n t ih s
anticapitalism 1.0	ae n t ay k ae p ih t ax l ih z ax m
anticipate 1.0	ae n t ih s ih p ey t
anticipated 1.0	ae n t ih s ih p ey t ih d
anticipating 1.0	ae n t ih s ih p ey t ih ng
anticipation 1.0	ae n t ih s ih p ey sh ih n
anticommunist 1.0	ae n t ay k aa m y ax n ih s t
anticompetitive 1.0	ae n t ay k ax m p eh t ih t ih v
anticrime 1.0	ae n t ay k r ay m
antidevelopment 1.0	ae n t ay d ih v eh l ax p m ih n t
antidrug 1.0	ae n t ay d r ah g
antidrugs 1.0	ae n t ay d r ah g z
antiethical 1.0	ae n t ay eh th ih k ax l
antifreeze 1.0	ae n t ay f r iy z
antigen 1.0	ae n t ih jh eh n
antigovernment 1.0	ae n t ay g ah v er m ih n t
antigun 1.0	ae n t ay g ah n
antihistamine 1.0	ae n t ay hh ih s t ax m iy n
antihistamines 1.0	ae n t ay hh ih s t ax m iy n z
antilock 1.0	ae n t ay l aa k
antimetric 1.0	ae n t ay m eh t r ih k
antipasta 1.0	ae n t ay p aa s t ax
antipollution 1.0	ae n t ay p ax l uw sh ih n
antiquated 1.0	ae n t ih k w ey t ih d
antique 1.0	ae n t iy k
antiques 1.0	ae n t iy k s
antisemitic 1.0	ae n t ay s ax m ih t ih k
antiseptic 1.0	ae n t ih s eh p t ih k
antismog 1.0	ae n t ay s m aa g
antisocial 1.0	ae n t ay s ow sh ax l
antisupporters 1.0	ae n t ay s ax p ow r t er z
antitank 1.0	ae n t ay t ae ng k
antitax 1.0	ae n t ay t ae k s
antitrade 1.0	ae n t ay t r ey d
antiwar 1.0	ae n t ay w ow r
antiwomen 1.0	ae n t ay w ih m eh n
antlers 1.0	ae n t l er z
antone 1.0	ae n t ow n
antonio 1.0	ae n t ow n iy ow
antonio's 1.0	ae n t ow n iy ow z
ants 1.0	ae n t s
antsy 1.0	ae n t s iy
anx- 1.0	ae ng k sh
anxieties 1.0	ae ng z ay ih t iy z
anxious 1.0	ae ng k sh ih s
any 1.0	eh n iy
any- 1.0	eh n iy
anybo- 1.0	eh n iy b ah
anybod- 1.0	eh n iy b ah d
anybody 1.0	eh n iy b ah d iy
anybody's 1.0	eh n iy b aa d iy z
anyhow 1.0	eh n iy hh aw
anymo- 1.0	eh n iy m ow
anymore 1.0	eh n iy m ow r
anyo- 1.0	eh n iy w ah
anyone 1.0	eh n iy w ah n
anyone's 1.0	eh n iy w ah n z
anyplace 1.0	eh n iy p l ey s
anyt- 1.0	eh n iy t
anyth- 1.0	eh n iy th
anythi- 1.0	eh n iy th ih
anything 1.0	eh n iy th ih ng
anything's 1.0	eh n iy th ih ng z
anytime 1.0	eh n iy t ay m
anyw- 1.0	eh n iy w
anyway 1.0	eh n iy w ey
anyways 1.0	eh n iy w ey z
anywhere 1.0	eh n iy w ey r
ap 1.0	ax p
ap- 1.0	ax p
apar- 1.0	ax p aa r
apart 1.0	ax p aa r t
apart- 1.0	ax p aa r t
apartment 1.0	ax p aa r t m ih n t
apartments 1.0	ax p aa r t m ih n t s
apathetic 1.0	ae p ax th eh t ih k
apathy 1.0	ae p ax th iy
apes 1.0	ey p s
apiece 1.0	ax p iy s
apliplations 1.0	ae p l ih p l ey sh ih n z
apocalypse 1.0	ax p aa k ax l ih p s
apolitical 1.0	ey p ax l ih t ih k ax l
apollo 1.0	ax p aa l ow
apologetic 1.0	ax p aa l ax jh eh t ih k
apologize 1.0	ax p aa l ax jh ay z
apology 1.0	ax p aa l ax jh iy
apostle 1.0	ax p aa s ax l
app- 1.0	ae p
app- 1.0	ax p
app- 1.0	ax p 
appalachia 1.0	ae p ax l ey ch iy ax
appalachian 1.0	ae p ax l ey ch ih n
appalachians 1.0	ae p ax l ey ch ih n z
appalled 1.0	ax p ao l d
appalling 1.0	ax p ao l ih ng
appallingly 1.0	ax p ao l ih ng l iy
appalls 1.0	ax p ao l z
apparatus 1.0	ae p ax r ae t ih s
apparent 1.0	ax p ey r ih n t
apparently 1.0	ax p ey r ih n t l iy
appeal 1.0	ax p iy l
appeal- 1.0	ax p iy l
appealed 1.0	ax p iy l d
appealing 1.0	ax p iy l ih ng
appeals 1.0	ax p iy l z
appear 1.0	ax p iy r
appearance 1.0	ax p iy r ih n s
appearances 1.0	ax p iy r ih n s ih z
appeared 1.0	ax p iy r d
appears 1.0	ax p iy r z
appease 1.0	ax p iy z
appetite 1.0	ae p ih t ay t
appetizer 1.0	ae p ih t ay z er
appetizers 1.0	ae p ih t ay z er z
appetizing 1.0	ae p ih t ay z ih ng
appl- 1.0	ax p l
applaud 1.0	ax p l ao d
applauding 1.0	ax p l ao d ih ng
apple 1.0	ae p ax l
apple's 1.0	ae p ax l z
applebee's 1.0	ae p ax l b iy z
apples 1.0	ae p ax l z
applesauce 1.0	ae p ax l s ao s
appleseed 1.0	ae p ax l s iy d
appliance 1.0	ax p l ay ih n s
appliances 1.0	ax p l ay ih n s ih z
applic- 1.0	ae p l ih k
applicable 1.0	ax p l ih k ax b ax l
applicant 1.0	ae p l ih k ax n t
applicants 1.0	ae p l ih k ax n t s
application 1.0	ae p l ih k ey sh ih n
applications 1.0	ae p l ih k ey sh ih n z
applicator 1.0	ae p l ih k ey t er
applied 1.0	ax p l ay d
applies 1.0	ax p l ay z
appliqued 1.0	ae p l ih k ey d
appliques 1.0	ae p l ih k ey z
apply 1.0	ax p l ay
applying 1.0	ax p l ay ih ng
appoint 1.0	ax p oy n t
appointed 1.0	ax p oy n t ih d
appointee 1.0	ax p oy n t iy
appointee's 1.0	ax p oy n t iy z
appointees 1.0	ax p oy n t iy z
appointing 1.0	ax p oy n t ih ng
appointment 1.0	ax p oy n t m ih n t
appointments 1.0	ax p oy n t m ih n t s
apportion 1.0	ax p ow r sh ih n
appraisal 1.0	ax p r ey z ax l
appraisals 1.0	ax p r ey z ax l z
appraise 1.0	ax p r ey z
appraised 1.0	ax p r ey z d
appraiser 1.0	ax p r ey z er
appraisers 1.0	ax p r ey z er z
apprec- 1.0	ax p r iy sh
appreciate 1.0	ax p r iy sh iy ey t
appreciated 1.0	ax p r iy sh iy ey t ih d
appreciates 1.0	ax p r iy sh iy ey t s
appreciation 1.0	ax p r iy sh iy ey sh ih n
appreciative 1.0	ax p r iy sh iy ax t ih v
appreciator 1.0	ax p r iy sh iy ey t er
apprehend 1.0	ae p r ih hh eh n d
apprehended 1.0	ae p r iy hh eh n d ih d
apprehensive 1.0	ae p r ih hh eh n s ih v
apprentice 1.0	ax p r eh n t ih s
apprentices 1.0	ax p r eh n t ih s ih z
appro- 1.0	ax p r uw
approach 1.0	ax p r ow ch
approached 1.0	ax p r ow ch t
approaches 1.0	ax p r ow ch ih z
approaching 1.0	ax p r ow ch ih ng
appropr- 1.0	ax p r ow p r
appropriate 1.0	ax p r ow p r iy ey t
appropriated 1.0	ax p r ow p r iy ey t ih d
appropriately 1.0	ax p r ow p r iy ih t l iy
approval 1.0	ax p r uw v ax l
approve 1.0	ax p r uw v
approved 1.0	ax p r uw v d
approving 1.0	ax p r uw v ih ng
approximate 1.0	ax p r aa k s ih m ey t
approximately 1.0	ax p r aa k s ih m ih t l iy
apricot 1.0	ae p r ih k aa t
april 1.0	ey p r ax l
apron 1.0	ey p r ax n
aprons 1.0	ey p r ax n z
apropos 1.0	ae p r ax p ow
apso 1.0	ae p s ow
apt 1.0	ae p t
aptitude 1.0	ae p t ih t uw d
aptitudes 1.0	ae p t ih t uw d z
